symbol,final_equity,total_return,max_drawdown,window
AAPL.csv,"103,921.57",3.92%,-0.62%,3
AAPL.csv,"100,632.91",0.63%,-0.62%,5
AAPL.csv,"100,000.00",0.00%,0.00%,10
AAPL.csv,"100,000.00",0.00%,0.00%,20
